id;start_date;end_date;language
1;2019-12-06T12:44:41;2019-12-06T05:52:58;FRENCH
2;2019-12-06T14:14:46;2019-12-05T23:20:56;FRENCH
3;2019-12-06T09:46:51;2019-12-06T01:10:51;FRENCH
4;2019-12-05T22:58:42;2019-12-06T06:25:44;FRENCH
5;2019-12-06T07:57:21;2019-12-06T12:41:30;ENGLISH
6;2019-12-06T14:14:22;2019-12-06T15:31:18;ENGLISH
7;2019-12-05T23:36:41;2019-12-06T12:17:28;FRENCH
8;2019-12-05T21:08:00;2019-12-06T05:08:09;SPANISH
9;2019-12-06T06:56:06;2019-12-06T15:20:45;FRENCH
10;2019-12-06T10:14:16;2019-12-06T07:30:31;ENGLISH
